pub_sourceid,sourcetitle,AJSC_Codes
22372,Immunopharmacology and Immunotoxicology,3005
4800152301,Journal of Patient Safety,2739
20667,Asian Pacific Journal of Allergy and Immunology,2723
24790,Journal of the European Academy of Dermatology and Venereology,2708
19900192570,Central European Journal of Urology,2748
17222,Mayo Clinic Proceedings,2700
23607,Computerized Medical Imaging and Graphics,1707
15300154823,Journal of Acquired Immune Deficiency Syndromes,2736
23164,School Psychology International,2738
4700153005,Annals of Thoracic Medicine,2705
4000148207,Health Promotion Journal of Australia,2739
28557,Australasian Journal on Ageing,2905
21751,Langenbeck's Archives of Surgery,2746
21790,Antiviral Therapy,3004
17976,Neuromuscular Disorders,2808
4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",2701
11700154204,Brain Stimulation,2728
21100401152,Microbiome,2404
16221,Irish Journal of Psychological Medicine,3202
28112,BMC Palliative Care,2700
16436,JRAAS - Journal of the Renin-Angiotensin-Aldosterone System,2724
19700183044,Thyroid Research,1310
13917,Indian Journal of Ophthalmology,2731
28770,British Journal of Cancer,2730
14410,"Acta Paediatrica, International Journal of Paediatrics",2735
13544,"Reproduction, Fertility and Development",1305
21461,International Journal for Equity in Health,2739
21945,Substance Use and Misuse,2701
144801,Journal of Psychotherapy Integration,3203
26631,Internal Medicine Journal,2724
130054,Neurocritical Care,2728
23164,School Psychology International,3304
21100376681,Revista de Senologia y Patologia Mamaria,2741
11400153331,Mucosal Immunology,2403
9500154121,Journal of Diabetes Nursing,2712
20862,Trends in Microbiology,2725
9500153993,Neuroradiology Journal,2728
40173,Asian Pacific Journal of Cancer Prevention,2730
17600155230,Journal of Infection Prevention,2725
29324,Online Journal of Nursing Informatics,2718
29956,Journal of Pediatric Hematology/Oncology,2720
11400153330,"Recent Patents on Endocrine, Metabolic and Immune Drug Discovery",3002
4000148009,"British journal of hospital medicine (London, England : 2005)",2700
21100199758,Egyptian Heart Journal,2705
29928,Journal of Cancer Education,2739
23288,Topics in Early Childhood Special Education,3304
14951,Clinical Pediatric Emergency Medicine,2711
21100469365,Annals of Occupational and Environmental Medicine,2739
21100461918,ACS Infectious Diseases,2725
19700182275,International Journal of Clinical Pharmacy,2736
29499,International Journal of Developmental Biology,2710
21100324708,AJOB Empirical Bioethics,1211
15898,Journal of Evaluation in Clinical Practice,2739
29574,Burns,2706
17700155005,London Journal of Primary Care,2739
19016,Methods of Information in Medicine,2902
17461,European Journal of Histochemistry,1304
29306,Clinical Autonomic Research,2807
21100204102,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",3501
18326,Journal of the Royal Army Medical Corps,2700
4700152487,Pravention und Gesundheitsforderung,2739
11700154712,Traumatology,2711
21100269616,Journal of Intellectual Disabilities and Offending Behaviour,2921
23008,Journal of Clinical Psychopharmacology,2738
21100448930,Chinese Clinical Oncology,2730
28792,Cancer Biology and Therapy,1306
21100255082,International Journal of Integrated Care,3306
11700154735,Journal of Aerosol Medicine and Pulmonary Drug Delivery,2736
17483,Zeitschrift fur Medizinische Physik,2741
21100438328,Health security,2711
18386,Acta Histochemica et Cytochemica,2734
23368,Journal of Environmental Health,2307
24795,European Journal of Pediatric Dermatology,2708
18519,Journal of Asthma,2723
21100372101,Nanotechnology Reviews,1305
14630,Ophthalmic Research,2809
15877,Journal of Community Health,3306
13820,Current Eye Research,2809
22411,Inflammopharmacology,2403
98899,African journal of reproductive health,2739
19384,Seminars in Neurology,2728
12539,European Journal of Nutrition,2701
20495,Renal Failure,2727
4700152237,Biomedical Signal Processing and Control,1711
15665,General Hospital Psychiatry,2738
6400153108,Artery Research,2705
16726,Journal of Intellectual Disability Research,2742
25323,Liver Transplantation,2747
17574,Acta Psychiatrica Scandinavica,2738
22488,Basic Research in Cardiology,1314
28308,Endoscopy,2715
19700175204,European Geriatric Medicine,2717
21100255350,Journal of Forensic Practice,3202
19700201301,Chiropractic and Manual Therapies,3602
17293,Molecular Imaging and Biology,2730
28471,Ageing and Society,3207
21087,Digestive Surgery,2746
11700154387,"Journal of Medical Devices, Transactions of the ASME",2701
5300152517,International Journal on Disability and Human Development,2902
21100253060,Photonics and Lasers in Medicine,2708
145172,Behavioral Sleep Medicine,3201
4000152109,Journal of Pediatric Neurosciences,2800
21100370010,Endoscopic Ultrasound,2721
25467,"Blood Cells, Molecules, and Diseases",1312
21100782247,BMJ Open Respiratory Research,2740
17264,Magnetic Resonance Imaging,1304
15238,Iranian Biomedical Journal,2704
17483,Zeitschrift fur Medizinische Physik,1304
16683,Journal of Clinical Neuroscience,2808
13264,Biological Rhythm Research,1105
19900188006,BioSocieties,2719
17970,Neurology Psychiatry and Brain Research,2728
110163,Polish Journal of Microbiology,2402
12255,Journal of Orthopaedic Surgery,2746
17700156734,Nature Reviews Clinical Oncology,2730
11700154364,Alter,2719
21326,European Journal of Clinical Pharmacology,2736
19900191817,Turkish Journal of Thoracic and Cardiovascular Surgery,2705
11200153563,Drug Metabolism Letters,1308
24043,Journal of Labelled Compounds and Radiopharmaceuticals,2741
16671,Emergency Radiology,2711
28673,Educational Gerontology,3304
26157,Journal of Bone and Mineral Metabolism,1310
20168,Tokai Journal of Experimental and Clinical Medicine,2700
21100258404,Applied Clinical Informatics,3605
21100301604,Pediatric Dental Journal,2735
110173,Progress in Transplantation,2747
19700183129,Clinical Medicine Insights: Pathology,2722
19700188101,Journal of Taibah University Medical Sciences,2700
21100332455,Journal of Huntington's disease,2804
12066,Journal of the American Medical Directors Association,2719
21100466891,International Journal of Health Governance,2719
19370,Journal of the American Society of Nephrology : JASN,2727
19064,Resuscitation,2907
17548,Acta Neurologica Scandinavica,2728
18548,Histochemistry and Cell Biology,3607
15405,Journal of Child Psychotherapy,2735
15701,Pediatric Allergy and Immunology,2403
18500161700,Pain Medicine,2703
19443,American Journal of Health-System Pharmacy,3004
20066,Biopharmaceutics and Drug Disposition,3004
19644,Technology and Health Care,1710
13408,Health Services Research,2719
27585,Journal of Lower Genital Tract Disease,2729
28727,Anti-Cancer Drugs,3004
26746,Trends in Endocrinology and Metabolism,1310
19700174976,"Anaesthesia, Pain and Intensive Care",2703
21100241807,"Artificial Cells, Nanomedicine and Biotechnology",3003
14386,CNS Spectrums,2728
24043,Journal of Labelled Compounds and Radiopharmaceuticals,1303
14676,Infection,2725
52429,"Journal of Endocrinology, Metabolism and Diabetes of South Africa",2712
27466,Gynecologic and Obstetric Investigation,2729
11400153335,Recent Patents on Inflammation and Allergy Drug Discovery,3002
21100202714,Drugs and Alcohol Today,3203
21301,Medical Microbiology and Immunology,2726
11000153729,Professional Case Management,2911
12870,Cognitive Neuropsychiatry,2805
16780,International Journal of Rehabilitation Research,2742
17831,Medical History,2900
14000155897,International Journal of Speech-Language Pathology,2733
21100235631,Scandinavian Journal of Urology,2727
21100435142,"Anaesthesia, critical care & pain medicine",2703
14838,Canadian Journal of Psychiatry,2738
21100433204,"Health promotion and chronic disease prevention in Canada : research, policy and practice",2739
6700153283,Journal of Hand Surgery: European Volume,2746
15846,Journal of Biomechanics,1304
4000149409,Quarterly Journal of Experimental Psychology,3200
5800179603,Radiation Oncology,2730
5300152615,International Journal of Public Health,2739
23181,Europace,2705
24944,Sexually Transmitted Diseases,2708
18200156702,World Mycotoxin Journal,2739
6300153105,Current Opinion in HIV and AIDS,2917
13487,Depression and Anxiety,3203
21100461914,LGBT Health,2729
14500154702,Journal of Cardiovascular Translational Research,1313
12949,Ostomy Wound Management,2724
14522,Virchows Archiv,1312
25372,Psychology of Addictive Behaviors,3203
14774,Sante Mentale au Quebec,2738
21370,Expert Review of Neurotherapeutics,2736
28771,Bulletin du Cancer,2730
29572,Journal of Biological Regulators and Homeostatic Agents,1310
22981,Journal of Cardiovascular Pharmacology,2705
16484,Palliative Medicine,2703
29451,Aggression and Violent Behavior,2738
19700201523,European Journal of Nanomedicine,1502
26192,Lymphology,2723
4700152293,Acute Cardiac Care,2741
20740,Clinical Immunology,2723
21100228130,International Journal for Parasitology: Parasites and Wildlife,2725
12400154726,JAMS Journal of Acupuncture and Meridian Studies,2707
16221,Irish Journal of Psychological Medicine,1207
130148,Gynecological Surgery,2729
29947,Journal of Chemotherapy,3004
11200153559,Nordic Journal of Music Therapy,2707
20492,Annals of Vascular Surgery,2705
12720,Journal of Nutritional Science and Vitaminology,2701
87861,Critical Care and Shock,2706
13450,Counselling Psychology Quarterly,3202
22191,Genetics in Medicine,2716
27622,Journal of Perinatal Medicine,2729
19700177122,Journal of Primary Health Care,2739
23884,Journal of Stroke and Cerebrovascular Diseases,2742
14579,Ocular Immunology and Inflammation,2731
23311,American Journal of Physiology - Heart and Circulatory Physiology,2705
22267,Human Mutation,1311
21100466864,Journal for ImmunoTherapy of Cancer,3004
21100461914,LGBT Health,2748
29070,The Gerontologist,2909
28771,Bulletin du Cancer,2741
21355,Expert Review of Anticancer Therapy,2736
16672,Journal of Child and Adolescent Psychopharmacology,2736
12721,Journal of Parenteral and Enteral Nutrition,2701
17700156408,Nature Reviews Neurology,2804
26162,Journal of Endocrinological Investigation,2712
15849,Journal of Biomedical Science,1307
18622,Pulmonary Pharmacology and Therapeutics,2704
18259,Revista Medica de Chile,2700
4700152440,Current Immunology Reviews,2723
83472,Romanian Journal of Morphology and Embryology,2734
29256,Clinical and Experimental Metastasis,2730
5300152704,Journal of Forensic Nursing,2738
38787,Journal of Investigational Allergology and Clinical Immunology,2723
21342,Pathobiology,1312
22477,Investigational New Drugs,2730
17100154713,Prion,2725
15721,Pediatric Diabetes,2735
93180,Organogenesis,2710
23308,American Journal of Physiology - Endocrinology and Metabolism,1314
18558,Monaldi Archives for Chest Disease,2740
20524,BMC Surgery,2746
130099,Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering,2741
24514,Clinical Child Psychology and Psychiatry,3203
24868,Journal of Investigative Dermatology,1303
28330,Gastroenterology,2715
29904,International Journal of Radiation Biology,2741
29901,International Journal of Hyperthermia,1306
25538,Diabetes Research and Clinical Practice,1310
21100466864,Journal for ImmunoTherapy of Cancer,2730
29203,Physics in Medicine and Biology,2741
18712,Psychiatry and Clinical Neurosciences,2728
16664,Journal of Behavioral Medicine,2738
11800154595,International Journal of Qualitative Studies on Health and Well-being,2910
29189,Journal of Aging and Health,2909
28478,Aging and Mental Health,2909
21100794825,Health Psychology Open,2738
23308,American Journal of Physiology - Endocrinology and Metabolism,2712
18566,Journal of Histochemistry and Cytochemistry,2702
16102,Human Psychopharmacology,2728
19884,Spinal Cord,2728
21100438049,Cardiovascular Endocrinology,2705
17600155059,Cancer cytopathology,1306
17239,Journal of Thoracic Imaging,2740
40173,Asian Pacific Journal of Cancer Prevention,2739
9500153979,"Cancer journal (Sudbury, Mass.)",2730
18687,Psychiatric Clinics of North America,2738
29191,Journal of Aging and Physical Activity,3612
21100427224,"Speech, Language and Hearing",2733
19700173005,Cancer Nanotechnology,3003
17512,Journal of Water and Health,2312
21100241657,African Journal of Urology,2748
21321,AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,2739
12430,Molecular Cancer Research,1312
19700175225,Clinical Respiratory Journal,2723
21100468501,Open Forum Infectious Diseases,2728
19700175043,Cancer Management and Research,2730
145630,Diabetes Spectrum,2724
12459,Journal of the National Cancer Institute,1306
23053,Journal of Natural Products,1313
12716,Journal of Nutrition,2701
19890,"Knee Surgery, Sports Traumatology, Arthroscopy",2732
14654,Optometry and Vision Science,3610
23402,European Journal of Applied Physiology,2739
19900192172,Journal of Nutrition in Gerontology and Geriatrics,2916
19700201524,Stem Cell Research and Therapy,1307
28727,Anti-Cancer Drugs,2736
17271,Medical Image Analysis,2741
4400151701,Journal of Exposure Science and Environmental Epidemiology,2713
20531,Phlebology,2705
144939,Journal of Intellectual Disabilities,2738
21100790932,Current Research in Nutrition and Food Science,2701
22549,Public Health Reviews,2905
130160,Diabetes and Vascular Disease Research,2712
20671,Vascular,2746
27523,International Journal of Obstetric Anesthesia,2703
19900191824,Sultan Qaboos University Medical Journal,2700
27630,The Journal of reproductive medicine,2729
22490,Blood Pressure,2705
21100256102,Translational Neurodegeneration,2804
23710,Journal of Medical Systems,3605
21807,Brazilian Journal of Infectious Diseases,2726
23643,Health Informatics Journal,2718
24943,Seminars in Cutaneous Medicine and Surgery,2746
25514,Gerodontology,3500
5800173394,Current Drug Therapy,3000
20099,Women and Health,2700
17300154948,"Women's health (London, England)",2700
15938,Journal of Intensive Care Medicine,2706
21100448010,Journal of Comprehensive Pediatrics,2735
26016,Leukemia and Lymphoma,2730
28387,Inflammatory Bowel Diseases,2715
39465,Annals of Surgical Oncology,2730
20734,Clinical and Experimental Immunology,2403
17320,Bulletin of the Menninger Clinic,2921
21100228547,JAMA Psychiatry,2738
19700175037,Journal of the International AIDS Society,2725
21100207003,Theranostics,2701
6600153204,Brain Structure and Function,2702
11300153316,Journal of Medical Imaging and Radiation Oncology,2730
20199,Transplant International,2747
28612,Canadian Journal on Aging/La Revue canadienne du vieillissment/Canadian Public Policy/Analyse de Politiques,2717
17300154942,Molecular Cytogenetics,1313
500147005,Maternal and Child Nutrition,2729
83418,Breast Cancer,2736
4600151527,Infectious Disorders - Drug Targets,2726
21100459267,Journal of Adolescent and Young Adult Oncology,2730
4700152432,Current Medical Imaging Reviews,2724
21100222518,"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",3504
19181,Psychotherapy and Psychosomatics,3203
5800173386,Current Drug Safety,3004
25523,Diabetes/Metabolism Research and Reviews,2724
12400154722,Informatics for Health and Social Care,2901
19700175906,Diabetes Therapy,2724
96519,Southern African Journal of Critical Care,2706
21865,Fundamental and Clinical Pharmacology,2736
5800173397,"Body, Movement and Dance in Psychotherapy",3203
14111,Klinicka Biochemie a Metabolismus,1310
4600151502,Revista Brasileira de Epidemiologia,2713
20489,Annals of Thoracic Surgery,2705
20186,Transfusion,2720
19817,British Journal of Sports Medicine,2732
146160,International Journal of Injury Control and Safety Promotion,3311
14500154702,Journal of Cardiovascular Translational Research,3003
21100202150,Operations Research for Health Care,2733
19172,Psychosomatic Medicine,2738
15701,Pediatric Allergy and Immunology,2735
19015,Metabolic Brain Disease,2804
5300152206,Saudi Journal of Gastroenterology,2715
19700174904,Asian Journal of Pharmaceutical and Clinical Research,2736
19946,International Urology and Nephrology,2727
27603,Journal of Midwifery and Women's Health,2729
14874,Child's Nervous System,2728
23053,Journal of Natural Products,3003
19700175063,European Journal of Mental Health,2921
19633,BMC Microbiology,2726
20185,Allergy: European Journal of Allergy and Clinical Immunology,2723
20500195020,Gut Pathogens,2406
145666,International Journal of Lower Extremity Wounds,2746
29022,Generations,3319
19134,Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis,2724
26152,Journal of Oral and Maxillofacial Surgery,2733
21100469363,Journal of Intensive Care,2706
19094,Acta Virologica,2725
58112,Transplantation Reviews,2747
12795,Perception,1702
18800156706,Molecular Medicine Reports,1312
13421,Psychoanalytic Psychotherapy,3203
15575,European Neurology,2808
19397,BMC Urology,2743
22529,Cardiology Clinics,2705
15970,Journal of Medicinal Food,2916
21100324716,Journal of Disability and Religion,3306
20671,Vascular,2741
21000195316,World Journal of Endocrine Surgery,2741
19700175027,Open Rheumatology Journal,2745
19400158464,Health Psychology Review,2738
6100152802,Nanomedicine,2204
19383,Fluoride - Quarterly Reports,2739
5300152611,European Journal of Trauma and Emergency Surgery,2706
23104,Journal of Pharmacy Practice and Research,3611
16676,European Journal of Nuclear Medicine and Molecular Imaging,2741
20190,Allergy and Asthma Proceedings,2740
14560,Child and Adolescent Psychiatric Clinics of North America,2735
24060,Journal of Radioanalytical and Nuclear Chemistry,2104
21100369168,Synergy,2736
22848,Orthodontics and Craniofacial Research,3504
28089,Obstetrics and Gynecology,2729
13069,Psycho-Oncology,2738
21100218055,BMC pharmacology & toxicology,3004
17970,Neurology Psychiatry and Brain Research,2800
29204,Measurement in Physical Education and Exercise Science,2732
22245,Human Genetics,1311
16761,Journal of Neuropathology and Experimental Neurology,2734
11700154735,Journal of Aerosol Medicine and Pulmonary Drug Delivery,2740
21000196010,Topics in antiviral medicine,3004
15849,Journal of Biomedical Science,2736
15096,Jornal de Pediatria,2735
4700152233,Therapeutics and Clinical Risk Management,3000
5700169553,Residential Treatment for Children and Youth,3308
5200153105,Zoonoses and Public Health,2400
4000149101,"Nanomedicine: Nanotechnology, Biology, and Medicine",2204
21100466871,Review Journal of Autism and Developmental Disorders,2802
19300156901,Dose-Response,2739
21100782252,BMJ Innovations,2700
29293,Clinical Reviews in Bone and Mineral Metabolism,1310
21100236803,Frontiers in Genetics,1311
5300152215,Journal of Opioid Management,2736
11700154364,Alter,2732
25908,Clinical and Applied Thrombosis/Hemostasis,2720
27601,Journal of Maternal-Fetal and Neonatal Medicine,2735
16604,Clinical Imaging,2741
19500157307,Journal of the Saudi Heart Association,2705
17913,Techniques in Vascular and Interventional Radiology,2705
25504,Diabetes Educator,3601
29228,International Journal of Occupational and Environmental Health,2739
27505,Human Reproduction,2729
26015,Leukemia,1306
14750,International Journal of Epidemiology,2713
13374,Health Physics,2713
4000149409,Quarterly Journal of Experimental Psychology,1314
22456,International Journal of Pharmacy Practice,2719
23104,Journal of Pharmacy Practice and Research,2736
21905,Journal of Public Health Management and Practice,2719
17876,Radiotherapy and Oncology,2730
20186,Transfusion,2723
145701,Indian Journal of Palliative Care,2739
5800228211,European Physical Education Review,2732
4700153004,AIDS Research and Therapy,2736
19104,Thorax,2740
16224,Israel Journal of Psychiatry and Related Sciences,2739
17300154952,European Journal of Integrative Medicine,2707
5000154606,Internal and Emergency Medicine,2724
23985,Neurobiology of Aging,2728
17665,Preventive Medicine,2739
21100203714,Skeletal Muscle,2732
18000156703,Counselling and Psychotherapy Research,3203
5200153105,Zoonoses and Public Health,2739
40064,"Medicine, Science and the Law",2910
19545,AIDS Education and Prevention,2739
19700188406,Diabetic Foot and Ankle,3613
25417,British Journal of Diabetes and Vascular Disease,2724
21100394091,Medical Gas Research,2703
11600153423,American Journal of Men's Health,2739
17459,Neuro-Ophthalmology,2728
14895,Clinical Neurology and Neurosurgery,2728
19700176021,Oncology Letters,2730
19194,Surgery Today,2746
9500154001,Italian Journal of Anatomy and Embryology,2702
29514,Radiation Protection Dosimetry,3614
19890,"Knee Surgery, Sports Traumatology, Arthroscopy",2746
16182,Seminars in Perinatology,2729
19660,"Comparative Immunology, Microbiology and Infectious Diseases",2723
13363,Obesity Reviews,2712
17100154713,Prion,1303
4700152905,Journal of LGBT Issues in Counseling,3203
22258,Bioethics,2719
27715,Anil Aggrawal's Internet Journal of Forensic Medicine and Toxicology,2734
27086,American Journal of the Medical Sciences,2700
20264,Microbes and Infection,2404
15509,Journal of Genetic Counseling,2716
20028,American Journal of Neuroradiology,2741
16705,Journal of Emotional and Behavioral Disorders,3304
15313,Suicide and Life-Threatening Behavior,2739
145157,"American Journal of Medical Genetics, Part A",1311
17300154735,Obesity Facts,3306
27523,International Journal of Obstetric Anesthesia,2729
20321,International Journal of Offender Therapy and Comparative Criminology,3202
14742,International Journal of Circumpolar Health,3306
17600,Advances in Psychiatric Treatment,2738
22384,International Journal of STD and AIDS,2736
21100390407,Journal of Biomedical Physics and Engineering,1502
110163,Polish Journal of Microbiology,2404
21100218027,Journal of Gastric Cancer,1306
17500155152,American Journal on Intellectual and Developmental Disabilities,2738
12217,Molecules and Cells,1312
4300151405,Hippokratia,2700
15091,Folia Morphologica,2702
21100324439,npj Primary Care Respiratory Medicine,2739
12645,Clinical Obstetrics and Gynecology,2729
27472,Annals of Anatomy,2702
20233,Journal of Medical Microbiology,2726
21256,Drugs of Today,3004
17600155039,Perspectives in Public Health,2739
21684,Journal of Heart and Lung Transplantation,2747
30021,Journal of Pediatric Psychology,2735
26613,Administration and Policy in Mental Health and Mental Health Services Research,2739
22538,Public Health Reports,2739
4000151904,Palliative and Supportive Care,2738
28586,BioMedical Engineering Online,2204
28582,Biogerontology,2909
15857,Journal of Clinical Epidemiology,2713
26649,Neuroendocrinology,2804
18926,Journal of Heredity,1311
5000154606,Internal and Emergency Medicine,2711
4000152107,Journal of Venomous Animals and Toxins Including Tropical Diseases,2405
19598,Asia-Pacific Journal of Public Health,2739
13266,American Journal of Ophthalmology,2731
14340,Brain Injury,3204
18993,New Genetics and Society,3306
12070,Attachment and Human Development,3204
19700188364,Viruses,2406
21100235813,Kidney Research and Clinical Practice,2727
93879,Journal of Child and Adolescent Psychiatric Nursing,2921
21673,Journal of Craniofacial Surgery,2746
21100201916,Pediatric obesity,2739
18684,Psychiatric Annals,2738
21465,International Journal of Health Services,2719
22494,Population Health Metrics,2713
17200,Malaysian Journal of Pathology,2734
21100790340,Oxford Medical Case Reports,2725
33502,Acupuncture and Electro-Therapeutics Research,2703
19588,Surgical and Radiologic Anatomy,2741
26779,Artificial Organs,1502
12647,Pediatric Blood and Cancer,2720
28747,BMC Cancer,1311
4000151808,PLoS Genetics,1312
13374,Health Physics,2307
20913,Bulletin of the World Health Organization,2739
21100208044,Policy and Internet,3306
14340,Brain Injury,2728
18011,Neuropsychological Rehabilitation,2742
14509,Journal of Vision,2809
25214,Toxicologic Pathology,1307
12100155640,Current Opinion in Supportive and Palliative Care,2706
19307,Revue Neurologique,2808
23402,European Journal of Applied Physiology,2737
21100199786,International Neurourology Journal,2748
4100151702,Vascular Health and Risk Management,2736
19834,Sleep Medicine,2700
24140,Artificial Intelligence in Medicine,1702
19900193807,Gerontechnology,2204
11700154618,Child and Adolescent Psychiatry and Mental Health,2735
19700174994,Expert Review of Hematology,2720
21950,Revista Espanola de Anestesiologia y Reanimacion,2703
11900154333,Expert Review of Ophthalmology,3610
21875,Experimental Parasitology,2405
22494,Population Health Metrics,2739
19700175129,Journal of Clinical and Aesthetic Dermatology,2708
21100451398,Asia-Pacific Journal of Ophthalmology,2731
38581,Alternative Therapies in Health and Medicine,2707
21038,Clinical Transplantation,2747
25930,Comparative Clinical Pathology,2702
16780,International Journal of Rehabilitation Research,3612
16593,Canadian Association of Radiologists Journal,2741
33502,Acupuncture and Electro-Therapeutics Research,2707
19200156707,Neurology Asia,2728
130036,Pediatric Critical Care Medicine,2735
19038,Microcirculation,1314
14300154705,Neuroethics,2719
14522,Virchows Archiv,1307
23853,Journal of Clinical Hypertension,2712
17191,International Journal of Radiation Oncology Biology Physics,1306
19700174904,Asian Journal of Pharmaceutical and Clinical Research,3003
23900,Journal of Vascular Access,2727
22549,Public Health Reviews,2739
19637,"Crime, Law and Social Change",3308
23155,Current Vascular Pharmacology,3004
19443,American Journal of Health-System Pharmacy,2719
5200152840,Intellectual and Developmental Disabilities,3204
20491,Journal of Medical Entomology,1109
29927,Japanese Journal of Clinical Oncology,2730
21100232419,Andrology,2712
21085,Dermatologic Surgery,2746
22064,Clinical Genetics,1311
9500154109,Journal of Crohn's and Colitis,2715
27580,Journal of Assisted Reproduction and Genetics,1309
14287,Behavioural Neurology,2728
6400153136,BioPsychoSocial Medicine,2738
130096,Taiwanese Journal of Obstetrics and Gynecology,2729
23234,Heart Failure Reviews,2705
21100802708,Clinical Lipidology,2712
22396,Acta Myologica,2705
21100199857,Annals of Laboratory Medicine,1308
19669,Current Opinion in Microbiology,2404
24001,Pathophysiology,2734
19700168717,African Journal of Drug and Alcohol Studies,2738
15029,Dementia and Geriatric Cognitive Disorders,2805
11900154404,PLoS Neglected Tropical Diseases,2739
14183,Aphasiology,3310
14880,Clinical Journal of Pain,2703
110092,Morbidity and Mortality Weekly Report,2307
22581,Circulation,2737
16672,Journal of Child and Adolescent Psychopharmacology,2738
21304,African Journal of AIDS Research,2739
27658,Maternal and Child Health Journal,2735
144606,Journal of Central South University (Medical Sciences),2700
94203,Anthropology and Medicine,1201
19700171828,East Asian Archives of Psychiatry,2738
21100286809,Policy and Practice in Health and Safety,2739
21100802700,Health Economics Review,2719
19200157024,Revista Latinoamericana de Psicopatologia Fundamental,2738
13674,Dysphagia,2715
19600157748,Ansiedad y Estres,3202
19900192138,Balkan Medical Journal,2700
27044,Journal of the American Health Information Management Association,2700
5800207425,Journal of Poetry Therapy,3203
17780,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,2700
5000158601,Journal of Pediatric Neurology,2735
19700174913,Therapeutic Advances in Neurological Disorders,3004
28514,Journal of the American Geriatrics Society,2717
21786,American Journal of Infection Control,2713
29949,Journal of Clinical Oncology,1306
21100775590,Games for health journal,1706
19700175140,Genome Medicine,2716
13192,Radioprotection,2105
14875,International Journal of Behavioral Nutrition and Physical Activity,2701
25655,Journal of Adolescence,2735
20668,Vasa - European Journal of Vascular Medicine,2705
27901,Family Practice,2714
19700174631,"Allergy, Asthma and Immunology Research",2403
17478,Topics in Spinal Cord Injury Rehabilitation,2742
21100397361,"BMC Sports Science, Medicine and Rehabilitation",2742
28792,Cancer Biology and Therapy,1313
15991,Journal of Pathology,2734
26380,Drug and Alcohol Dependence,3005
144614,Twin Research and Human Genetics,2735
16003,Journal of Rural Health,2739
21100428207,Journal of the Pediatric Infectious Diseases Society,2735
4700152612,Current Nanoscience,3003
21100208066,Journal of Oral Microbiology,2726
5200152837,Journal of Surgical Education,2746
21100464778,Open Heart,2705
21100330721,Person-Centered and Experiential Psychotherapies,3204
74271,Operative Orthopadie und Traumatologie,2746
29160,Cancer Letters,2730
14016,"Psychology and Psychotherapy: Theory, Research and Practice",2738
17500155152,American Journal on Intellectual and Developmental Disabilities,2728
21100208035,International Journal of Forensic Mental Health,2921
14608,Ophthalmic Genetics,2735
4900153304,Archives of Environmental and Occupational Health,2307
20570,Chemotherapy,3004
16925,American Journal of Community Psychology,3202
17990,Neuropathology and Applied Neurobiology,2734
14183,Aphasiology,3204
14000155897,International Journal of Speech-Language Pathology,2912
19900192172,Journal of Nutrition in Gerontology and Geriatrics,2717
18517,Cytometry. Part A : the journal of the International Society for Analytical Cytology,2734
16745,Journal of Neuroendocrinology,2807
6500153248,Victims and Offenders,3308
26087,Transfusion Medicine,2720
30072,Journal of Reproductive and Infant Psychology,2735
18966,Mutagenesis,2307
11300153402,Biomarkers in Medicine,2704
21100456160,Clinical Epidemiology and Global Health,2739
6200180178,International Journal of COPD,2740
14386,CNS Spectrums,2738
22072,Current Gene Therapy,1312
19961,Molecular Medicine,1311
19700175014,Translational Oncology,1306
21100438049,Cardiovascular Endocrinology,2807
27211,International Journal of Technology Assessment in Health Care,2719
23363,Canadian Journal of Physiology and Pharmacology,2737
22603,Journal of Early Intervention,2738
15968,Journal of Medical Virology,2406
19700175160,Therapeutic Advances in Medical Oncology,2730
20653,Topics in Stroke Rehabilitation,2742
21100433120,Microbiology spectrum,1311
21100433120,Microbiology spectrum,1314
24813,Experimental Dermatology,1303
21100349562,Aging and Disease,1307
15000154802,EuroIntervention,2705
19732,Osteoarthritis and Cartilage,2732
19732,Osteoarthritis and Cartilage,2745
28143,Prenatal Diagnosis,2716
20066,Biopharmaceutics and Drug Disposition,3003
20888,Virus Research,2725
24859,Journal of Dermatological Science,2708
16705,Journal of Emotional and Behavioral Disorders,3204
27623,Journal of Perinatology,2735
21100787322,Romanian Journal of Anaesthesia and Intensive Care,2706
17639,Alzheimer Disease and Associated Disorders,3203
14985,Current Problems in Pediatric and Adolescent Health Care,2735
29820,Histopathology,2734
18992,Neurogenetics,2804
20603,Clinical Drug Investigation,2736
22214,Genome Research,2716
19637,"Crime, Law and Social Change",3300
22485,Atherosclerosis Supplements,2724
21100222534,NeuroImage: Clinical,2808
26660,Pancreas,2712
22372,Immunopharmacology and Immunotoxicology,3004
22443,Journal of Medical Screening,2739
14139,Journal of Clinical Outcomes Management,2719
23877,Journal of Hypertension,2705
14799,Sexual Abuse: Journal of Research and Treatment,2738
19248,Thoracic and Cardiovascular Surgeon,2705
28563,American Journal of Industrial Medicine,2739
144947,European Journal of Ageing,3306
26015,Leukemia,2703
