"Scopus Source Identifier","Journal","2016 Cite Score","Number of Cases (Model 1)","Odds Ratio (Model 1)","95% CI Lower Bound (Model 1)","95% CI Upper Bound (Model 1)","P-Value (Model 1)","Number of Cases (Model 2)","Odds Ratio (Model 2)","95% CI Lower Bound (Model 2)","95% CI Upper Bound (Model 2)","P-Value (Model 2)","Number of ICCs (2013)","Number of ICCs (2014)","Number of ICCs (2015)","Number of ICCs (2016)","Number of ICCs (2017)","Journal Topics"
"13774","Clinical and Experimental Ophthalmology",1.59,21,"1.17","0.42","3.27","0.765",21,"1.17","0.42","3.27","0.483",9,4,4,5,6,"Ophthalmology"
"13777","Clinical and Experimental Optometry",1.14,8,"0.55","0.11","2.77","0.466",8,"0.55","0.11","2.77","0.588",4,1,0,1,5,"Ophthalmology"
"23382","Clinical and Experimental Pharmacology and Physiology",1.98,9,"2.78","0.64","12.00","0.171",9,"2.78","0.64","12.00","0.037",9,0,0,0,0,"Physiology (medical)"
"19186","Clinical and Experimental Rheumatology",2.06,13,"2.37","0.68","8.30","0.178",13,"2.37","0.68","8.30","0.053",11,4,1,0,0,"Immunology and Allergy; Rheumatology"
"21100398775","Clinical and Translational Allergy",1.13,8,"0.40","0.08","2.09","0.276",8,"0.40","0.08","2.09","0.265",0,3,1,4,1,"Immunology and Allergy"
"21100416172","Clinical and Translational Imaging",1.36,7,"0.57","0.07","4.92","0.611",7,"0.57","0.07","4.92","0.826",1,2,1,2,1,"Radiology Nuclear Medicine and Imaging"
"4000148706","Clinical and Vaccine Immunology",2.35,15,"0.15","0.02","1.15","0.068",15,"0.15","0.02","1.15","0.078",2,3,2,5,5,"Immunology and Allergy; Microbiology (medical)"
"29306","Clinical Autonomic Research",1.18,17,"0.67","0.17","2.67","0.572",17,"0.67","0.17","2.67","0.988",0,3,1,2,12,"Clinical Neurology"
"29263","Clinical Cancer Research",8.34,217,"0.92","0.67","1.27","0.630",217,"0.92","0.67","1.27","0.503",48,50,60,58,34,"Oncology"
"26786","Clinical Chemistry",3.54,75,"0.36","0.17","0.75","0.006",75,"0.36","0.17","0.75","0.013",20,25,18,16,19,"Biochemistry, Medical"
"17369","Clinical Chemistry and Laboratory Medicine",2.21,41,"0.46","0.20","1.04","0.061",41,"0.46","0.20","1.04","0.187",27,13,20,17,14,"Biochemistry, Medical"
"20603","Clinical Drug Investigation",1.7,4,"1.24","0.05","29.50","0.893",4,"1.24","0.05","29.50","0.484",0,1,0,1,2,"Pharmacology (medical)"
"25444","Clinical Endocrinology",2.84,17,"1.26","0.43","3.72","0.679",17,"1.26","0.43","3.72","0.198",8,5,5,1,1,"Endocrinology, Diabetes, and Metabolism"
"21100242254","Clinical Endoscopy",1.56,8,"8.93","0.78","101.94","0.078",8,"8.93","0.78","101.94","0.212",1,2,4,1,3,"Gastroenterology; Medicine (miscellaneous); Radiology Nuclear Medicine and Imaging"
"19700175052","Clinical Epidemiology",7.45,3,"0.57","0.05","6.51","0.650",3,"0.57","0.05","6.51","0.856",3,0,0,0,0,"Epidemiology"
"19700173006","Clinical Epigenetics",4.51,20,"1.14","0.42","3.06","0.799",20,"1.14","0.42","3.06","0.898",0,2,7,9,5,"Genetics (clinical)"
"21100201053","Clinical Ethics",0.57,3,"0.37","0.03","4.63","0.443",3,"0.37","0.03","4.63","0.998",0,0,0,2,1,"Medicine (miscellaneous)"
"28273","Clinical Gastroenterology and Hepatology",4.07,90,"0.67","0.37","1.22","0.188",90,"0.67","0.37","1.22","0.417",38,28,25,10,9,"Gastroenterology; Hepatology"
"22064","Clinical Genetics",2.59,7,"0.52","0.10","2.75","0.438",7,"0.52","0.10","2.75","0.197",2,0,4,2,2,"Genetics (clinical)"
"28652","Clinical Gerontologist",0.98,3,"1.30","0.12","14.43","0.833",3,"1.30","0.12","14.43","1.000",0,0,0,1,5,"Geriatrics and Gerontology"
"21817","Clinical Infectious Diseases",4.88,302,"0.68","0.51","0.91","0.008",302,"0.68","0.51","0.91","0.150",85,75,99,57,49,"Infectious Diseases; Microbiology (medical)"
"14880","Clinical Journal of Pain",3.05,9,"2.00","0.42","9.63","0.386",9,"2.00","0.42","9.63","0.403",2,1,10,1,0,"Anesthesiology and Pain Medicine; Clinical Neurology"
"19818","Clinical Journal of Sport Medicine",2.04,4,"0.83","0.08","9.00","0.875",4,"0.83","0.08","9.00","0.998",0,1,2,1,0,"Orthopedics and Sports Medicine"
"7600153101","Clinical journal of the American Society of Nephrology : CJASN",4.11,163,"0.93","0.64","1.36","0.712",163,"0.93","0.64","1.36","0.435",20,34,39,57,40,"Critical Care and Intensive Care Medicine; Epidemiology; Nephrology; Transplantation"
"19700175456","Clinical Lymphoma, Myeloma and Leukemia",1.75,3,"2.13","0.18","25.20","0.547",3,"2.13","0.18","25.20","0.996",1,1,0,0,1,"Hematology; Oncology"
"35022","Clinical Medicine",0.53,2,"1.41","0.07","27.57","0.819",2,"1.41","0.07","27.57","1.000",1,0,0,0,1,"Medicine (all)"
"29316","Clinical Microbiology and Infection",3.99,49,"0.69","0.34","1.41","0.305",49,"0.69","0.34","1.41","0.977",11,18,19,13,25,"Infectious Diseases; Microbiology (medical)"
"14900","Clinical Neurophysiology",2.81,102,"0.40","0.22","0.73","0.003",102,"0.40","0.22","0.73","0.022",26,26,32,43,24,"Clinical Neurology; Physiology (medical)"
"5100152905","Clinical Neuropsychiatry",0.77,4,"0.39","0.04","4.15","0.435",4,"0.39","0.04","4.15","0.593",3,0,0,1,1,"Psychiatry and Mental Health"
"70201","Clinical Neuropsychologist",1.64,10,"0.79","0.17","3.61","0.761",10,"0.79","0.17","3.61","0.829",1,5,0,5,3,"Psychiatry and Mental Health"
"30050","Clinical Nutrition",3.83,11,"1.16","0.32","4.20","0.820",11,"1.16","0.32","4.20","0.697",2,0,1,5,5,"Critical Care and Intensive Care Medicine"
"12645","Clinical Obstetrics and Gynecology",1.57,2,"3.10","0.14","68.06","0.473",2,"3.10","0.14","68.06","0.999",2,0,0,0,0,"Obstetrics and Gynecology"
"29271","Clinical Oncology",2.16,18,"0.64","0.17","2.38","0.510",18,"0.64","0.17","2.38","0.348",5,6,4,4,5,"Oncology; Radiology Nuclear Medicine and Imaging"
"29603","Clinical Orthopaedics and Related Research",2.65,29,"0.82","0.25","2.71","0.748",29,"0.82","0.25","2.71","0.931",10,13,5,2,1,"Orthopedics and Sports Medicine"
"130130","Clinical Otolaryngology",0.86,4,"1.29","0.08","21.11","0.858",4,"1.29","0.08","21.11","0.999",3,1,2,0,0,"Otorhinolaryngology"
"14951","Clinical Pediatric Emergency Medicine",0.33,2,"1.41","0.07","30.20","0.824",2,"1.41","0.07","30.20","1.000",0,0,1,0,1,"Emergency Medicine; Pediatrics, Perinatology, and Child Health"
"20624","Clinical Pharmacokinetics",4.61,9,"0.56","0.11","2.90","0.489",9,"0.56","0.11","2.90","0.498",0,2,5,2,3,"Pharmacology (medical)"
"20626","Clinical Pharmacology and Therapeutics",5.28,50,"0.80","0.40","1.58","0.516",50,"0.80","0.40","1.58","0.916",27,20,8,11,12,"Pharmacology (medical)"
"20741","Clinical Reviews in Allergy and Immunology",4.87,7,"1.05","0.18","6.24","0.956",7,"1.05","0.18","6.24","0.535",3,5,4,3,3,"Immunology and Allergy"
"19187","Clinical Rheumatology",2.09,8,"0.53","0.10","2.79","0.453",8,"0.53","0.10","2.79","0.244",2,2,3,3,1,"Rheumatology"
"29710","Clinical Science",4.87,13,"0.19","0.02","1.53","0.119",13,"0.19","0.02","1.53","0.315",1,2,2,3,5,"Medicine (all)"
"29712","Clinical Therapeutics",2.59,11,"1.14","0.26","5.07","0.860",11,"1.14","0.26","5.07","0.690",4,10,11,8,6,"Pharmacology (medical)"
"24296","Clinics in Dermatology",2.55,13,"1.48","0.44","5.05","0.529",13,"1.48","0.44","5.05","0.569",2,1,4,9,1,"Dermatology"
"68480","CMAJ",1.01,53,"0.95","0.51","1.79","0.881",53,"0.95","0.51","1.79","0.651",13,10,12,9,23,"Medicine (all)"
"21100386500","CMGH Cellular and Molecular Gastroenterology and Hepatology",2.15,49,"0.83","0.41","1.67","0.600",49,"0.83","0.41","1.67","0.954",0,0,15,23,17,"Gastroenterology; Hepatology"
"14386","CNS Spectrums",2.73,4,"2.21","0.30","16.16","0.436",4,"2.21","0.30","16.16","0.498",3,1,1,1,2,"Clinical Neurology; Psychiatry and Mental Health"
"29775","Cochrane Database of Systematic Reviews",6.46,395,"1.23","0.99","1.53","0.063",395,"1.23","0.99","1.53","0.807",142,104,149,86,126,"Pharmacology (medical)"
"28281","Colorectal Disease",1.95,28,"0.76","0.25","2.33","0.634",28,"0.76","0.25","2.33","0.539",9,7,7,17,18,"Gastroenterology"
"19900191754","Conflict and Health",1.86,4,"1.54","0.14","17.10","0.727",4,"1.54","0.14","17.10","0.506",0,2,1,1,0,"Public, Environmental, and Occupational Health"
"24298","Contact Dermatitis",2.47,12,"0.19","0.05","0.72","0.015",12,"0.19","0.05","0.72","0.008",2,5,2,3,2,"Dermatology; Immunology and Allergy"
"13795","Contact Lens and Anterior Eye",1.61,3,"0.69","0.06","8.04","0.764",3,"0.69","0.06","8.04","0.615",2,0,2,0,0,"Ophthalmology"
"130115","Contemporary Clinical Trials",2.15,2,"1.29","0.08","21.11","0.858",2,"1.29","0.08","21.11","1.000",2,1,0,0,0,"Pharmacology (medical)"
"4700152268","CONTINUUM Lifelong Learning in Neurology",1.11,27,"1.25","0.54","2.90","0.606",27,"1.25","0.54","2.90","0.769",0,0,1,14,14,"Clinical Neurology; Genetics (clinical)"
"24613","Contraception",2.27,21,"1.10","0.37","3.30","0.866",21,"1.10","0.37","3.30","0.491",4,6,7,3,5,"Obstetrics and Gynecology; Reproductive Medicine"
"130077","COPD: Journal of Chronic Obstructive Pulmonary Disease",2.32,9,"0.37","0.04","3.53","0.388",9,"0.37","0.04","3.53","0.875",4,2,2,0,1,"Pulmonary and Respiratory Medicine"
"23097","Coronary Artery Disease",1.41,36,"0.91","0.30","2.76","0.868",36,"0.91","0.30","2.76","0.906",0,14,11,11,9,"Cardiology and Cardiovascular Medicine"
"13450","Counselling Psychology Quarterly",0.77,5,"1.12","0.07","17.95","0.937",5,"1.12","0.07","17.95","1.000",0,0,0,4,1,"Psychiatry and Mental Health"
"21100248023","CPT: Pharmacometrics and Systems Pharmacology",3.43,5,"1.14","0.11","11.81","0.911",5,"1.14","0.11","11.81","0.758",7,1,0,0,1,"Cardiology and Cardiovascular Medicine; Pharmacology (medical)"
"19637","Crime, Law and Social Change",0.91,2,"7.07","0.42","117.87","0.173",2,"7.07","0.42","117.87","1.000",0,0,0,1,3,"Pathology and Forensic Medicine"
"14958","Criminal Behaviour and Mental Health",1.23,2,"2.42","0.14","40.51","0.540",2,"2.42","0.14","40.51","1.000",1,1,0,0,1,"Pathology and Forensic Medicine; Psychiatry and Mental Health"
"19664","Criminal Justice and Behavior",2.03,3,"4.41","0.35","55.06","0.249",3,"4.41","0.35","55.06","0.650",0,0,0,0,3,"Pathology and Forensic Medicine"
"19684","Criminology",5.83,3,"2.45","0.14","42.58","0.539",3,"2.45","0.14","42.58","1.000",0,0,3,0,0,"Pathology and Forensic Medicine"
"29916","Critical Care Medicine",3.7,342,"0.61","0.44","0.84","0.003",342,"0.61","0.44","0.84","0.001",121,88,102,104,52,"Critical Care and Intensive Care Medicine"
"99014","Critical Public Health",2.1,10,"9.14","1.02","82.15","0.048",10,"9.14","1.02","82.15","0.196",2,2,2,3,4,"Public, Environmental, and Occupational Health"
"29309","Critical Reviews in Oncology/Hematology",4.95,5,"0.33","0.03","3.20","0.340",5,"0.33","0.03","3.20","0.263",4,0,1,0,0,"Geriatrics and Gerontology; Hematology; Oncology"
"130034","Current Alzheimer Research",3.2,11,"0.73","0.19","2.84","0.645",11,"0.73","0.19","2.84","0.130",0,1,2,5,4,"Clinical Neurology"
"5800173383","Current Clinical Pharmacology",1.67,2,"1.00","0.06","15.99","1.000",2,"1.00","0.06","15.99","1.000",0,0,2,0,0,"Pharmacology (medical)"
"13820","Current Eye Research",1.8,2,"2.45","0.14","42.58","0.539",2,"2.45","0.14","42.58","1.000",0,0,1,0,1,"Ophthalmology"
"29970","Current Medical Research and Opinion",2.51,32,"0.35","0.10","1.22","0.098",32,"0.35","0.10","1.22","0.093",3,10,8,7,7,"Medicine (all)"
"14990","Current Neuropharmacology",4.01,5,"0.54","0.06","5.33","0.601",5,"0.54","0.06","5.33","0.714",0,0,3,1,2,"Clinical Neurology; Pharmacology (medical); Psychiatry and Mental Health"
"29319","Current Oncology",1.82,19,"2.04","0.69","6.00","0.196",19,"2.04","0.69","6.00","0.189",4,5,5,3,6,"Oncology"
"20761","Current Opinion in Allergy and Clinical Immunology",3.17,11,"0.86","0.23","3.26","0.827",11,"0.86","0.23","3.26","0.608",3,8,3,1,3,"Immunology and Allergy"
"21871","Current Opinion in Anaesthesiology",2.43,2,"2.65","0.12","59.11","0.539",2,"2.65","0.12","59.11","1.000",1,2,0,0,0,"Anesthesiology and Pain Medicine"
"6300153105","Current Opinion in HIV and AIDS",3.76,11,"0.84","0.20","3.43","0.803",11,"0.84","0.20","3.43","0.505",2,4,0,2,4,"Hematology; Infectious Diseases; Oncology"
"21844","Current Opinion in Infectious Diseases",4.66,2,"1.58","0.10","25.77","0.748",2,"1.58","0.10","25.77","NA",0,0,3,0,0,"Infectious Diseases; Microbiology (medical)"
"14993","Current Opinion in Neurology",4.38,5,"0.23","0.02","3.20","0.273",5,"0.23","0.02","3.20","0.278",0,2,1,2,1,"Clinical Neurology"
"13821","Current Opinion in Ophthalmology",3.33,3,"0.97","0.07","13.94","0.985",3,"0.97","0.07","13.94","0.998",1,1,1,0,1,"Ophthalmology"
"29975","Current Opinion in Organ Transplantation",2.69,9,"2.48","0.44","13.92","0.301",9,"2.48","0.44","13.92","0.203",3,4,1,2,0,"Immunology and Allergy; Transplantation"
"14963","Current Opinion in Pediatrics",2.54,3,"0.39","0.02","6.32","0.508",3,"0.39","0.02","6.32","0.553",2,2,0,1,0,"Pediatrics, Perinatology, and Child Health"
"14994","Current Opinion in Psychiatry",4.05,6,"2.85","0.46","17.72","0.261",6,"2.85","0.46","17.72","0.579",2,1,1,5,1,"Psychiatry and Mental Health"
"18449","Current Opinion in Pulmonary Medicine",3.09,2,"3.46","0.21","56.72","0.384",2,"3.46","0.21","56.72","NA",0,1,1,1,0,"Pulmonary and Respiratory Medicine"
"19209","Current Opinion in Rheumatology",4.52,2,"0.75","0.05","11.97","0.836",2,"0.75","0.05","11.97","1.000",2,0,0,0,0,"Rheumatology"
"12100155640","Current Opinion in Supportive and Palliative Care",1.88,3,"0.51","0.04","7.15","0.618",3,"0.51","0.04","7.15","0.873",0,1,1,1,0,"Critical Care and Intensive Care Medicine; Oncology"
"14985","Current Problems in Pediatric and Adolescent Health Care",1.31,4,"4.24","0.40","44.96","0.231",4,"4.24","0.40","44.96","0.999",1,0,4,9,6,"Pediatrics, Perinatology, and Child Health"
"4700152434","Current Psychiatry Reviews",0.77,2,"3.16","0.15","68.51","0.463",2,"3.16","0.15","68.51","0.991",0,1,0,1,0,"Psychiatry and Mental Health"
"4700152435","Current Respiratory Medicine Reviews",0.39,4,"0.60","0.02","15.78","0.761",4,"0.60","0.02","15.78","0.972",2,0,3,0,0,"Pulmonary and Respiratory Medicine"
"23155","Current Vascular Pharmacology",1.91,14,"0.89","0.21","3.75","0.879",14,"0.89","0.21","3.75","0.993",2,4,4,2,3,"Cardiology and Cardiovascular Medicine"
"22083","Cytokine",3.06,2,"3.24","0.16","63.79","0.439",2,"3.24","0.16","63.79","1.000",1,0,2,0,0,"Hematology; Immunology and Allergy"
"17421","Cytokine and Growth Factor Reviews",6.48,2,"3.16","0.18","54.39","0.428",2,"3.16","0.18","54.39","1.000",0,2,0,0,0,"Endocrinology, Diabetes, and Metabolism; Immunology and Allergy"
"18518","Cytometry Part B - Clinical Cytometry",1.71,14,"0.25","0.05","1.25","0.092",14,"0.25","0.05","1.25","0.077",2,4,4,4,6,"Histology; Pathology and Forensic Medicine"
"18517","Cytometry. Part A : the journal of the International Society for Analytical Cytology",2.48,9,"1.49","0.24","9.13","0.664",9,"1.49","0.24","9.13","0.883",6,4,0,6,0,"Histology; Pathology and Forensic Medicine"
"18520","Cytopathology",1.42,12,"0.92","0.22","3.83","0.912",12,"0.92","0.22","3.83","0.990",2,5,5,0,1,"Histology; Pathology and Forensic Medicine"
"25935","Cytotherapy",3.39,18,"0.53","0.14","2.03","0.352",18,"0.53","0.14","2.03","0.551",6,9,3,3,0,"Genetics (clinical); Immunology and Allergy; Oncology; Transplantation"
"16649","Dentomaxillofacial Radiology",1.36,6,"0.57","0.06","5.18","0.616",6,"0.57","0.06","5.18","0.576",5,1,2,1,0,"Otorhinolaryngology; Radiology Nuclear Medicine and Imaging"
"17846","Der Radiologe",0.31,6,"4.71","0.40","55.07","0.217",6,"4.71","0.40","55.07","0.076",0,0,1,1,5,"Radiology Nuclear Medicine and Imaging"
"21085","Dermatologic Surgery",1.35,30,"1.22","0.51","2.93","0.660",30,"1.22","0.51","2.93","0.896",14,5,10,5,8,"Dermatology; Surgery"
"24345","Dermatology",1.8,6,"0.89","0.16","5.11","0.898",6,"0.89","0.16","5.11","0.917",1,1,3,1,0,"Dermatology"
"18800156726","Deutsches Ärzteblatt international",0.48,25,"0.25","0.07","0.90","0.034",25,"0.25","0.07","0.90","0.107",12,8,1,6,4,"Medicine (all)"
"13491","Development and Psychopathology",3.71,11,"0.63","0.17","2.42","0.505",11,"0.63","0.17","2.42","0.515",3,3,1,4,5,"Psychiatry and Mental Health"
"14987","Developmental Medicine and Child Neurology",2.23,184,"1.04","0.74","1.45","0.827",184,"1.04","0.74","1.45","0.885",44,39,48,62,44,"Clinical Neurology; Pediatrics, Perinatology, and Child Health"
"25487","Diabetes",6.2,255,"0.59","0.43","0.81","0.001",255,"0.59","0.43","0.81","0.035",86,93,75,44,18,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25488","Diabetes and Metabolism",3.19,7,"0.56","0.06","5.58","0.623",7,"0.56","0.06","5.58","0.439",1,6,3,2,0,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"130160","Diabetes and Vascular Disease Research",3.35,3,"3.16","0.18","54.39","0.428",3,"3.16","0.18","54.39","0.911",0,1,1,1,1,"Cardiology and Cardiovascular Medicine; Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25491","Diabetes Care",7.48,131,"0.75","0.49","1.14","0.172",131,"0.75","0.49","1.14","0.333",50,50,30,34,22,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25538","Diabetes Research and Clinical Practice",3.41,3,"1.26","0.10","16.21","0.857",3,"1.26","0.10","16.21","1.000",0,5,0,0,0,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25545","Diabetes Technology and Therapeutics",1.44,37,"1.17","0.55","2.50","0.690",37,"1.17","0.55","2.50","0.675",6,2,16,18,15,"Endocrinology, Diabetes, and Metabolism"
"25527","Diabetes, Obesity and Metabolism",6.83,18,"0.26","0.03","1.97","0.191",18,"0.26","0.03","1.97","0.277",1,4,6,4,7,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25523","Diabetes/Metabolism Research and Reviews",2.89,5,"0.73","0.10","5.36","0.760",5,"0.73","0.10","5.36","0.867",0,2,0,2,1,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25577","Diabetic Medicine",2.92,15,"1.92","0.62","5.88","0.255",15,"1.92","0.62","5.88","0.296",4,4,5,15,11,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"25584","Diabetologia",5.23,102,"0.75","0.47","1.20","0.231",102,"0.75","0.47","1.20","0.322",18,14,16,30,34,"Endocrinology, Diabetes, and Metabolism; Internal Medicine"
"5700191209","Diagnostic Pathology",1.9,22,"0.38","0.12","1.21","0.101",22,"0.38","0.12","1.21","0.060",22,6,1,1,0,"Histology; Pathology and Forensic Medicine"
"28298","Digestive and Liver Disease",2.28,23,"0.15","0.02","1.17","0.071",23,"0.15","0.02","1.17","0.125",11,8,2,3,3,"Gastroenterology; Hepatology"
"28300","Digestive Diseases and Sciences",2.34,98,"0.65","0.36","1.19","0.164",98,"0.65","0.36","1.19","0.465",36,33,1,13,33,"Gastroenterology"
"28302","Digestive Endoscopy",2.07,14,"0.84","0.16","4.49","0.839",14,"0.84","0.16","4.49","0.815",3,4,3,2,2,"Gastroenterology; Radiology Nuclear Medicine and Imaging"
"11300153406","Disability and Health Journal",1.6,8,"2.51","0.38","16.81","0.341",8,"2.51","0.38","16.81","0.297",0,6,1,1,4,"Public, Environmental, and Occupational Health"
"11600153403","Disaster Medicine and Public Health Preparedness",0.75,6,"0.33","0.04","3.05","0.328",6,"0.33","0.04","3.05","NA",0,3,5,3,1,"Public, Environmental, and Occupational Health"
"21088","Diseases of the Colon and Rectum",2.65,40,"1.12","0.52","2.41","0.764",40,"1.12","0.52","2.41","0.831",12,5,10,9,12,"Gastroenterology"
"19400157151","DMM Disease Models and Mechanisms",4.47,25,"0.95","0.35","2.53","0.912",25,"0.95","0.35","2.53","0.617",7,7,5,6,1,"Medicine (miscellaneous)"
"26380","Drug and Alcohol Dependence",3.59,4,"3.48","0.35","34.63","0.287",4,"3.48","0.35","34.63","0.995",4,0,0,0,0,"Pharmacology (medical); Psychiatry and Mental Health"
"26382","Drug and Alcohol Review",2.38,9,"1.88","0.39","8.98","0.429",9,"1.88","0.39","8.98","0.428",0,4,2,1,2,"Medicine (miscellaneous)"
"21237","Drug Safety",3.34,24,"0.39","0.12","1.27","0.119",24,"0.39","0.12","1.27","0.166",17,3,2,6,6,"Pharmacology (medical)"
"21241","Drugs and Aging",3.38,5,"0.67","0.10","4.37","0.672",5,"0.67","0.10","4.37","0.543",1,2,1,2,0,"Geriatrics and Gerontology; Pharmacology (medical)"
"26409","Drugs: Education, Prevention and Policy",1.34,6,"1.87","0.33","10.55","0.476",6,"1.87","0.33","10.55","0.594",0,0,1,5,2,"Medicine (miscellaneous)"
"13679","Ear and Hearing",2.97,7,"0.41","0.06","2.94","0.375",7,"0.41","0.06","2.94","0.452",3,1,2,2,0,"Otorhinolaryngology"
"17500155156","Early Intervention in Psychiatry",1.93,5,"1.04","0.16","6.85","0.964",5,"1.04","0.16","6.85","0.952",3,0,1,1,1,"Psychiatry and Mental Health"
"20214","Eastern Mediterranean Health Journal",0.67,3,"1.00","0.09","11.59","1.000",3,"1.00","0.09","11.59","1.000",1,0,3,0,0,"Medicine (all)"
"15460","Eating and Weight Disorders",1.42,5,"1.40","0.22","8.73","0.721",5,"1.40","0.22","8.73","0.411",0,0,2,2,1,"Psychiatry and Mental Health"
"13547","Eating Disorders",1.5,5,"0.58","0.09","3.82","0.572",5,"0.58","0.09","3.82","0.117",0,0,2,3,0,"Psychiatry and Mental Health"
"23159","Echocardiography",1.04,11,"0.79","0.15","4.05","0.775",11,"0.79","0.15","4.05","0.635",1,5,5,4,1,"Cardiology and Cardiovascular Medicine; Radiology Nuclear Medicine and Imaging"
"13051","Education for Primary Care",0.27,7,"0.79","0.15","4.28","0.783",7,"0.79","0.15","4.28","0.234",4,1,3,1,0,"Public, Environmental, and Occupational Health"
"19700201647","Egyptian Rheumatologist",1.06,3,"0.42","0.03","6.08","0.524",3,"0.42","0.03","6.08","0.999",0,0,1,0,2,"Rheumatology"
"21100440520","EJNMMI Physics",1.67,5,"0.83","0.06","10.85","0.886",5,"0.83","0.06","10.85","0.959",0,2,1,2,1,"Radiology Nuclear Medicine and Imaging"
"21100235610","EJNMMI Research",1.77,11,"1.22","0.32","4.61","0.772",11,"1.22","0.32","4.61","0.973",3,0,4,3,2,"Radiology Nuclear Medicine and Imaging"
"29666","EMA - Emergency Medicine Australasia",0.9,10,"0.48","0.09","2.52","0.387",10,"0.48","0.09","2.52","0.253",6,1,1,2,2,"Emergency Medicine"
"29689","Emergency Medicine Journal",1.11,27,"0.54","0.18","1.60","0.264",27,"0.54","0.18","1.60","0.225",0,7,7,8,12,"Critical Care and Intensive Care Medicine; Emergency Medicine"
"20228","Emerging Infectious Diseases",4.92,23,"0.70","0.25","1.93","0.487",23,"0.70","0.25","1.93","0.603",2,6,9,5,4,"Epidemiology; Infectious Diseases; Microbiology (medical)"
"22041","Emotional and Behavioural Difficulties",0.63,2,"0.91","0.06","14.64","0.949",2,"0.91","0.06","14.64","0.999",2,0,0,0,0,"Psychiatry and Mental Health"
"26032","Endocrine Practice",1.79,31,"0.68","0.29","1.60","0.374",31,"0.68","0.29","1.60","0.598",3,5,8,14,5,"Endocrinology, Diabetes, and Metabolism"
"26035","Endocrine-Related Cancer",5.12,16,"1.42","0.46","4.38","0.547",16,"1.42","0.46","4.38","0.268",1,8,4,5,1,"Endocrinology, Diabetes, and Metabolism; Oncology"
"4100151707","Endocrine, Metabolic and Immune Disorders - Drug Targets",1.74,4,"0.85","0.08","9.56","0.896",4,"0.85","0.08","9.56","0.362",1,1,1,0,1,"Endocrinology, Diabetes, and Metabolism; Immunology and Allergy"
"28308","Endoscopy",1.49,92,"0.44","0.20","0.95","0.037",92,"0.44","0.20","0.95","0.086",15,18,20,62,30,"Gastroenterology"
"22099","Environmental and Molecular Mutagenesis",3.49,11,"0.91","0.24","3.50","0.892",11,"0.91","0.24","3.50","0.823",1,1,6,1,2,"Epidemiology; Genetics (clinical)"
"21003","Environmental Health Perspectives",5.62,7,"1.59","0.28","9.14","0.605",7,"1.59","0.28","9.14","0.922",1,3,5,2,0,"Public, Environmental, and Occupational Health"
"145480","Environmental Health: A Global Access Science Source",3.71,9,"0.68","0.13","3.59","0.651",9,"0.68","0.13","3.59","0.854",4,3,0,0,2,"Public, Environmental, and Occupational Health"
"5200152632","Environmental Research Letters",4.74,11,"1.20","0.28","5.08","0.805",11,"1.20","0.28","5.08","0.438",9,3,0,1,2,"Public, Environmental, and Occupational Health"
"21100229837","Environmental Sciences: Processes and Impacts",2.79,13,"1.15","0.27","4.81","0.849",13,"1.15","0.27","4.81","0.692",1,8,5,0,1,"Public, Environmental, and Occupational Health"
"13139","Epidemiologia e prevenzione",0.51,9,"0.58","0.11","3.18","0.532",9,"0.58","0.11","3.18","0.417",4,3,6,1,0,"Epidemiology; Public, Environmental, and Occupational Health"
"13140","Epidemiologic Reviews",9.85,5,"0.63","0.10","3.94","0.617",5,"0.63","0.10","3.94","0.934",1,1,1,1,1,"Epidemiology"
"20717","Epidemiology",3.18,61,"0.62","0.33","1.14","0.122",61,"0.62","0.33","1.14","0.037",17,17,11,12,11,"Epidemiology"
"19686","Epidemiology and Infection",1.98,18,"1.24","0.43","3.61","0.689",18,"1.24","0.43","3.61","0.862",6,2,3,7,1,"Epidemiology; Infectious Diseases"
"19900192160","Epidemiology and Psychiatric Sciences",1.62,25,"0.30","0.09","0.98","0.046",25,"0.30","0.09","0.98","0.149",6,8,8,7,8,"Epidemiology; Psychiatry and Mental Health; Public, Environmental, and Occupational Health"
"15510","Epilepsia",4.6,28,"0.81","0.33","1.99","0.645",28,"0.81","0.33","1.99","0.707",13,8,5,0,3,"Clinical Neurology"
"19700201201","EPMA Journal",3.25,7,"1.59","0.26","9.82","0.615",7,"1.59","0.26","9.82","0.314",0,4,3,2,2,"Biochemistry, Medical; Health Policy"
"13198","Ethnicity and Disease",1.03,3,"0.74","0.06","9.48","0.819",3,"0.74","0.06","9.48","0.998",0,0,1,2,0,"Epidemiology"
"15000154802","EuroIntervention",2.4,104,"0.19","0.06","0.62","0.006",104,"0.19","0.06","0.62","0.010",26,25,22,30,47,"Cardiology and Cardiovascular Medicine"
"23181","Europace",2.78,96,"0.66","0.33","1.31","0.237",96,"0.66","0.33","1.31","0.410",36,24,22,19,16,"Cardiology and Cardiovascular Medicine; Physiology (medical)"
